checkpoint,checkpoint_basename,optimizer,run_label,step,mc_samples,val_tokens,temperature,mc_bma_nll,mean_posterior_nll
/home/adrianrob/.t3/worktrees/evon-experiments-gh/t3code-8920b60f/checkpoints/for_adrian/model_60001,model_60001,evon,train_T1.4,60001,1,2000000,1.4,2.79886300,2.79576907
/home/adrianrob/.t3/worktrees/evon-experiments-gh/t3code-8920b60f/checkpoints/for_adrian/model_60001,model_60001,evon,train_T1.4,60001,4,2000000,1.4,2.79614539,2.79576907
/home/adrianrob/.t3/worktrees/evon-experiments-gh/t3code-8920b60f/checkpoints/for_adrian/model_60001,model_60001,evon,train_T1.4,60001,16,2000000,1.4,2.79549460,2.79576907
/home/adrianrob/.t3/worktrees/evon-experiments-gh/t3code-8920b60f/checkpoints/for_adrian/model_60001,model_60001,evon,train_T1.4,60001,32,2000000,1.4,2.79539301,2.79576907
